,PC1,PC2,PC3
mcminn,5.593298999820659,0.09509790846463495,-3.2522176146067006
mcnairy,2.137829969434104,-4.954874298739817,3.7379490345498705
macon,5.711213316712038,-1.9277715902364903,-3.4567646827438248
madison,0.5222511299660283,-1.9255788563952358,8.70264567480149
marion,-9.024961411630219,0.007018658842760095,-2.595645292064388
marshall,7.660801877978772,-1.364101243708367,-3.578271035557238
maury,18.56583037697722,1.0850189167518214,-0.9284809367309548
meigs,-8.29456781530724,-0.5759491406531743,-3.324075311555436
monroe,1.8833520904199093,0.5388347701048046,-2.6167329464826405
montgomery,4.853235126374852,6.915567394839245,4.414168776830832
moore,-8.26912663402323,-1.3121772021780473,-3.5097588114023113
morgan,-6.978156891959742,-1.650300878478216,-3.0716366715914587
obion,-1.272475578423364,-5.7532331055753705,11.6216298769139
overton,3.783563649903718,-1.137669072089365,-3.5089411679196556
perry,-9.123861696419834,-3.183167627725488,-3.438921541391218
pickett,-9.359003372946857,-0.6599437231234695,-3.162399738065262
polk,-10.84145998890204,-0.06824283500062345,-2.5817874372096217
putnam,3.5126452645250366,2.0995519687652333,-3.05644865261207
rhea,-6.714454770975007,0.041290324302485026,-2.114213195799982
roane,-5.1587192958584085,1.1496550746520218,-2.479401302614282
robertson,10.73326198911089,-0.0749860847586794,5.371781690398416
rutherford,13.185125650467636,10.892866925629788,1.2527727467151166
scott,-9.530157265260128,-0.7774511448482742,-1.3037269491819847
sequatchie,-11.230948268664363,0.34078697314427786,-3.3340820322187694
sevier,-2.8184304399341613,4.204759581961412,-1.1322532670056051
shelby,-5.322758906370745,18.13512588427148,9.554134902463833
smith,3.760115451221946,-2.0510698691948828,-4.153346494212453
stewart,-6.749290939917674,-1.1016515779857938,-2.125071734700611
sullivan,2.954571522341998,5.790130967813706,-1.9349644446449816
sumner,12.452912743207696,7.482642293683247,-0.2403097351444865
tipton,-3.25986218354602,0.21653845885428757,5.834382822076686
trousdale,-9.297468517232648,-0.9553618690931163,-3.1508160153794993
unicoi,-10.87222974478312,-0.5875900143022112,-1.5641512237388375
union,-6.794712564356768,0.44929553041672354,-3.232253032760925
van_buren,-1.1280585753281613e-06,-3.529196469028877,1.127481533911951
warren,-0.537061185513225,-1.3705463197625414,-0.28475578186049705
washington,-1.2760186516529104,3.071330310908346,2.6108916735344496
wayne,0.7383753170911574,-4.981002233963457,-1.0949981862690827
weakley,0.7751748722028755,-1.8240894748474847,-0.8965367398914362
white,0.35632583367721904,-1.9185475484725059,0.21614250315196737
williamson,2.5070689409586198,12.934919345021646,6.842930771938132
wilson,2.2582220748819095,6.417556762098064,3.405001774723192
