County,pct_rur_10,pop_10,pop_00,pop_90,pop_80,pop_70,hsg_10,hsg_00,hsg_90,hsg_80,hsg_70,lat,long,ind_dis,land_sqmi,pop_den,hsg_den,pct_dpop_00,pct_dpop_90,pct_dhsg_80,pct_dhsg_90,pct_dhsg_00,pct_dpop_80,h_sold_07,h_sold_08,h_sold_09,h_sold_10,h_sold_11,h_sold_12,h_sold_13,h_sold_14,h_sold_15,h_sold_16,med_07,med_08,med_09,med_10,med_11,med_12,med_13,med_14,med_15,med_16,fm_cnt_12,fm_cnt_07,lnd_acr_12,lnd_acr_07,avg_acr_12,avg_acr_07,lnd_val_12,lnd_val_07,k_12,k_07,avg_fm_12,avg_fm_07,avg_usd_12,avg_usd_07,fm_val_049_12,fm_val_050_12,fm_val_100_12,fm_val_200_12,fm_val_500_12,fm_val_01k_12,fm_val_02k_12,fm_val_05k_12,fm_val_10k_12,lnd_apx_12,lnd_pct_12,sz_fm_009_12,sz_acr_009_12,sz_fm_010_12,sz_acr_010_12,sz_fm_050_12,sz_acr_050_12,sz_fm_070_12,sz_acr_070_12,sz_fm_100_12,sz_acr_100_12,sz_fm_140_12,sz_acr_140_12,sz_fm_180_12,sz_acr_180_12,sz_fm_220_12,sz_acr_220_12,sz_fm_260_12,sz_acr_260_12,sz_fm_500_12,sz_acr_500_12,sz_fm_01k_12,sz_acr_01k_12,sz_fm_02k_12,sz_acr_02k_12,sz_fm_009_07,sz_acr_009_07,sz_fm_010_07,sz_acr_010_07,sz_fm_050_07,sz_acr_050_07,sz_fm_070_07,sz_acr_070_07,sz_fm_100_07,sz_acr_100_07,sz_fm_140_07,sz_acr_140_07,sz_fm_180_07,sz_acr_180_07,sz_fm_220_07,sz_acr_220_07,sz_fm_260_07,sz_acr_260_07,sz_fm_500_07,sz_acr_500_07,sz_fm_01k_07,sz_acr_01k_07,sz_fm_02k_07,sz_acr_02k_07,cp_fm_12,cp_fm_07,cp_acr_12,cp_acr_07,cp_hvt_fm_12,cp_hvt_fm_07,cp_hvt_acr_12,cp_hvt_acr_07,cp_gz_fm_12,cp_gz_fm_07x,cp_gz_acr_12,cp_gz_acr_07x,cp_ot_fm_12,cp_ot_fm_07,cp_ot_acr_12,cp_ot_acr_07,cp_id_fm_12,cp_id_fm_07,cp_id_acr_12,cp_id_acr_07,cp_fl_fm_12,cp_fl_fm_07,cp_fl_acr_12,cp_fl_acr_07,cp_sm_fm_12,cp_sm_fm_07,cp_sm_acr_12,cp_sm_acr_07,wd_fm_12,wd_fm_07,wd_acr_12,wd_acr_07,wd_p1_fm_12,wd_p1_fm_07,wd_p1_acr_12,wd_p1_acr_07,wd_p0_fm_12,wd_p0_fm_07,wd_p0_acr_12,wd_p0_acr_07,ps_rg_fm_12,ps_rg_fm_07,ps_rg_acr_12,ps_rg_acr_07,bdg_fm_12,bdg_fm_07,bdg_acr_12,bdg_acr_07,pst_fm_12,pst_fm_07,pst_acr_12,pst_acr_07,cnv_fm_12,cnv_fm_07,cnv_acr_12,cnv_acr_07,ins_fm_12,ins_fm_07,ins_acr_12,ins_acr_07,cp_ot_fm_02,cp_ot_acr_02,cp_id_fm_02,cp_id_acr_02,cp_fl_fm_02,cp_fl_acr_02,cp_sm_fm_02,cp_sm_acr_02,wd_fm_02,wd_acr_02,wd_p1_fm_02,wd_p1_acr_02
cheatham,83.0,39105,35912,27140,21616,13199,15663,13508,10297,7481,4223,36.27,-87.05,2648.64961119,302.44,129.3,51.8,8.9,32.3,25.6,16.0,31.2,37.6,35,79,30,11,21,13,10,30,39,41,190000.0,199500.0,185396.5,145000,150000.0,207000.0,194121.0,196450.0,200000.0,240850.0,415.0,554.0,52404.0,63122.0,126.0,114.0,415.0,554.0,223752.0,258749.0,539162.0,467056.0,4270.0,4099.0,30.0,29.0,82.0,155.0,59.0,42.0,15.0,2.0,1.0,193560.0,27.1,24.0,127.0,137.0,3676.0,61.0,3581.0,41.0,3528.0,46.0,5305.0,29.0,4646.0,21.0,4257.0,11.0,2580.0,33.0,12195.0,8.0,5341.0,3.0,21646.0,1.0,32485.0,38.0,227.0,202.0,5295.0,51.0,2961.0,77.0,6491.0,63.0,7416.0,42.0,6711.0,22.0,4253.0,11.0,2584.0,31.0,12094.0,14.0,9324.0,2.0,36288.0,1.0,18238.0,303.0,424.0,20809.0,30323.0,269.0,347.0,15844.0,17331.0,52.0,153.0,2449.0,7520.0,62.0,110.0,2516.0,5472.0,60.0,87.0,2180.0,2747.0,7.0,26.0,336.0,2725.0,1.0,2.0,51.0,9.0,286.0,336.0,14773.0,14182.0,123.0,179.0,2647.0,4470.0,194.0,227.0,12126.0,9712.0,282.0,350.0,14676.0,15971.0,270.0,268.0,2146.0,2646.0,308.0,438.0,19772.0,27961.0,7.0,9.0,569.0,427.0,13.0,15.0,3584.0,2857.0,169.0,6034.0,152.0,5671.0,28.0,363.0,1.0,14.0,381.0,16903.0,185.0,5460.0
chester,65.2,17131,15540,12819,12727,9927,6980,6178,4944,4470,3243,35.38,-88.42,24581.1087315,285.74,60.0,24.4,10.2,21.2,0.7,13.0,25.0,10.6,23,35,35,32,21,14,17,9,10,15,123000.0,119900.0,111000.0,115950,124500.0,125950.0,122900.0,128500.0,136700.0,134900.0,391.0,484.0,60889.0,71686.0,156.0,148.0,391.0,484.0,117415.0,174981.0,300295.0,361531.0,1928.0,2441.0,31.0,57.0,101.0,152.0,34.0,12.0,3.0,1.0,10.0,182871.0,33.3,8.0,46.0,119.0,7000.0,29.0,1670.0,40.0,3354.0,63.0,7192.0,37.0,5849.0,22.0,4367.0,20.0,4854.0,36.0,12839.0,12.0,8550.0,3.0,4499.0,2.0,9930.0,14.0,66.0,132.0,4206.0,58.0,3413.0,54.0,4479.0,69.0,7893.0,49.0,7647.0,27.0,5296.0,23.0,3242.0,36.0,11928.0,13.0,8452.0,7.0,8492.0,2.0,6825.0,324.0,407.0,28059.0,36363.0,220.0,257.0,20968.0,21252.0,47.0,106.0,2232.0,7295.0,142.0,167.0,4859.0,7816.0,139.0,144.0,4763.0,6026.0,4.0,32.0,96.0,1790.0,1.0,7.0,4.0,12.0,255.0,263.0,18526.0,19332.0,90.0,94.0,2755.0,3730.0,209.0,219.0,15771.0,15602.0,193.0,246.0,11804.0,12897.0,249.0,209.0,2500.0,3094.0,227.0,324.0,16791.0,23922.0,96.0,154.0,3941.0,6158.0,26.0,38.0,8963.0,12241.0,208.0,10180.0,195.0,9848.0,21.0,332.0,1.0,6.0,300.0,18628.0,132.0,3569.0
claiborne,71.6,32213,29862,26137,24595,19420,14859,13262,10711,9385,6484,36.54,-83.67,6267.53361923,434.58,74.1,34.2,7.9,14.3,6.3,12.0,23.8,14.1,5,27,15,14,9,5,8,7,12,15,119000.0,153000.0,130000.0,130925,123000.0,150000.0,132500.0,154900.0,145400.0,166150.0,945.0,1090.0,121481.0,124757.0,129.0,114.0,945.0,1090.0,372466.0,387686.0,394144.0,355675.0,3066.0,3108.0,92.0,112.0,232.0,339.0,106.0,45.0,17.0,1.0,1.0,278131.0,43.7,33.0,171.0,310.0,9106.0,131.0,7646.0,114.0,9563.0,111.0,12667.0,61.0,9525.0,45.0,8832.0,40.0,9578.0,66.0,21820.0,25.0,16546.0,6.0,7115.0,3.0,8912.0,53.0,313.0,397.0,11543.0,151.0,8534.0,145.0,12180.0,113.0,13037.0,63.0,9740.0,39.0,7719.0,31.0,7284.0,65.0,23043.0,23.0,15101.0,9.0,9040.0,1.0,63755.0,797.0,967.0,34385.0,43984.0,731.0,843.0,26237.0,25985.0,77.0,336.0,4794.0,13870.0,168.0,128.0,3354.0,4129.0,141.0,89.0,2790.0,2866.0,43.0,54.0,788.0,901.0,1.0,2.0,3.0,12.0,679.0,739.0,33071.0,30825.0,418.0,478.0,9728.0,12726.0,414.0,427.0,23343.0,18099.0,752.0,777.0,50626.0,45878.0,548.0,502.0,3399.0,4070.0,791.0,946.0,65148.0,72474.0,14.0,9.0,74.0,20.0,12.0,21.0,184.0,212.0,289.0,7578.0,259.0,7003.0,56.0,1347.0,2.0,14.0,911.0,37872.0,552.0,12893.0
clay,100.0,7861,7976,7238,7676,6624,4282,3959,3340,3015,2383,36.54,-85.5,7261.12321676,236.54,33.2,18.1,-1.4,10.2,-5.7,8.2,18.5,10.8,2,2,0,1,0,1,0,0,0,0,92300.0,33000.0,0.0,157000,0.0,107000.0,0.0,0.0,0.0,0.0,424.0,462.0,79745.0,77779.0,188.0,168.0,424.0,462.0,221594.0,192083.0,522628.0,415764.0,2779.0,2470.0,33.0,36.0,88.0,156.0,67.0,28.0,11.0,4.0,1.0,151383.0,52.7,10.0,48.0,90.0,2640.0,44.0,2452.0,54.0,4502.0,62.0,7246.0,28.0,4459.0,27.0,5279.0,17.0,4068.0,59.0,19409.0,26.0,15984.0,3.0,4558.0,4.0,9100.0,17.0,549.0,104.0,2867.0,47.0,2684.0,53.0,4335.0,62.0,7076.0,35.0,5560.0,24.0,4682.0,19.0,4610.0,65.0,22057.0,34.0,20690.0,1.0,18028.0,1.0,9009.0,353.0,386.0,27263.0,31468.0,317.0,321.0,19002.0,18253.0,62.0,156.0,6078.0,11130.0,70.0,67.0,2183.0,2085.0,59.0,44.0,1625.0,1142.0,12.0,25.0,558.0,943.0,4.0,1.0,51.0,6.0,313.0,273.0,27175.0,23515.0,130.0,150.0,5771.0,8960.0,243.0,183.0,21404.0,14555.0,312.0,292.0,23622.0,21158.0,258.0,202.0,1685.0,1638.0,336.0,384.0,35471.0,41248.0,7.0,6.0,323.0,106.0,13.0,9.0,1675.0,177.0,69.0,1551.0,62.0,1477.0,9.0,893.0,2.0,70.0,340.0,24653.0,201.0,10313.0
cocke,67.5,35662,33565,29141,28792,25283,17459,15844,12282,11305,8159,36.04,-83.18,20278.6617836,434.57,82.1,40.2,6.2,15.2,1.2,10.2,29.0,8.6,17,15,15,4,5,3,4,8,9,7,144900.0,174900.0,135500.0,139950,130000.0,147000.0,183150.0,169550.0,157300.0,143000.0,625.0,705.0,61059.0,64163.0,98.0,91.0,625.0,705.0,223950.0,242126.0,358320.0,343441.0,3668.0,3774.0,37.0,42.0,165.0,271.0,65.0,37.0,7.0,1.0,11.0,278138.0,22.0,28.0,131.0,221.0,9106.0,84.0,4917.0,85.0,6962.0,79.0,9109.0,42.0,6525.0,25.0,4993.0,17.0,4137.0,38.0,12770.0,4.0,2564.0,2.0,14134.0,8.0,87816.0,35.0,151.0,290.0,7417.0,89.0,5170.0,81.0,6618.0,78.0,9137.0,36.0,5492.0,28.0,5571.0,23.0,9663.0,36.0,12119.0,8.0,5179.0,1.0,4969.0,5.0,130977.0,473.0,586.0,20420.0,27557.0,422.0,483.0,16497.0,16862.0,55.0,235.0,1769.0,7129.0,88.0,107.0,2154.0,3566.0,75.0,69.0,1674.0,1928.0,19.0,44.0,477.0,4714.0,3.0,1.0,3.0,16.0,451.0,447.0,17842.0,16043.0,272.0,244.0,5899.0,4959.0,294.0,307.0,11943.0,11084.0,462.0,445.0,20104.0,17243.0,404.0,351.0,2693.0,3320.0,504.0,590.0,27772.0,29331.0,2.0,132.0,262.0,1490.0,10.0,20.0,1716.0,1539.0,169.0,3372.0,137.0,2954.0,52.0,418.0,3.0,70.0,556.0,20171.0,308.0,6417.0
coffee,47.3,52796,48014,40339,38311,32572,23434,20746,16786,14992,11104,35.64,-86.2,4715.03920944,428.96,123.1,54.6,10.0,19.0,5.3,13.0,23.6,12.0,59,104,43,25,22,26,32,45,71,103,147000.0,149500.0,134500.0,174900,190000.0,228450.0,130962.5,145000.0,138000.0,132900.0,895.0,1008.0,144840.0,139945.0,162.0,139.0,895.0,1008.0,512672.0,490415.0,572818.0,486522.0,3540.0,3504.0,56.0,92.0,200.0,328.0,111.0,56.0,38.0,12.0,2.0,274536.0,52.8,57.0,270.0,367.0,9794.0,97.0,5589.0,74.0,6177.0,82.0,9492.0,55.0,8664.0,19.0,3856.0,15.0,3672.0,58.0,20942.0,38.0,24850.0,26.0,31414.0,7.0,20120.0,85.0,445.0,405.0,10218.0,112.0,6358.0,93.0,7512.0,87.0,9939.0,36.0,5798.0,29.0,5665.0,20.0,4833.0,77.0,25648.0,41.0,26896.0,17.0,20022.0,6.0,16611.0,667.0,753.0,78978.0,83786.0,614.0,641.0,74092.0,64211.0,72.0,249.0,2923.0,14421.0,92.0,132.0,1963.0,5154.0,71.0,72.0,1693.0,2989.0,23.0,64.0,267.0,2165.0,3.0,5.0,3.0,13.0,543.0,551.0,25328.0,22774.0,305.0,301.0,8159.0,7850.0,365.0,361.0,17169.0,14924.0,627.0,629.0,37242.0,30123.0,578.0,450.0,3292.0,3262.0,677.0,803.0,48324.0,52394.0,12.0,17.0,404.0,786.0,73.0,50.0,42935.0,27502.0,183.0,5919.0,136.0,4960.0,57.0,300.0,2.0,31.0,616.0,24493.0,306.0,9376.0
crockett,67.4,14586,14532,13378,14941,14402,6425,6138,5521,5655,5028,35.78,-89.11,11659.9470799,265.53,54.9,24.2,0.4,8.6,-10.5,4.7,11.2,-2.4,12,9,4,2,3,10,6,8,11,12,118500.0,106750.0,105565.0,110250,115000.0,115250.0,123900.0,127400.0,124500.0,138900.0,369.0,470.0,130550.0,149227.0,354.0,318.0,369.0,470.0,370196.0,348908.0,1003243.0,742358.0,2836.0,2338.0,42.0,59.0,75.0,81.0,38.0,29.0,24.0,18.0,3.0,169942.0,76.8,18.0,99.0,114.0,3017.0,30.0,1697.0,39.0,3290.0,32.0,3655.0,17.0,2743.0,16.0,3251.0,7.0,1630.0,31.0,11706.0,27.0,18728.0,19.0,25994.0,19.0,54740.0,25.0,146.0,166.0,4572.0,57.0,3239.0,43.0,3712.0,53.0,5973.0,23.0,3625.0,7.0,1439.0,3.0,725.0,20.0,7444.0,32.0,20876.0,23.0,34689.0,18.0,62787.0,308.0,391.0,112118.0,133999.0,233.0,273.0,100513.0,113321.0,32.0,85.0,4618.0,7830.0,120.0,154.0,6987.0,12848.0,115.0,131.0,6856.0,7576.0,7.0,26.0,131.0,5272.0,1.0,1.0,3.0,5.0,115.0,133.0,6707.0,5444.0,32.0,56.0,1211.0,1449.0,94.0,89.0,5496.0,3995.0,145.0,176.0,9664.0,7437.0,197.0,183.0,2061.0,2347.0,171.0,241.0,15493.0,16716.0,97.0,146.0,5942.0,7804.0,84.0,88.0,78513.0,84519.0,142.0,8561.0,136.0,7946.0,15.0,615.0,11.0,70.0,114.0,5194.0,56.0,827.0
cumberland,60.9,56053,46802,34736,28676,20733,28151,22442,15864,10998,6766,35.9,-84.88,10241.668679600001,681.03,82.3,41.3,19.8,34.7,21.1,25.4,41.5,44.2,124,177,83,62,57,44,46,55,58,76,208750.0,189900.0,144000.0,139450,154000.0,160250.0,176000.0,175900.0,185750.0,180000.0,764.0,842.0,129110.0,122554.0,169.0,146.0,764.0,842.0,491492.0,429913.0,643314.0,510586.0,3807.0,3508.0,35.0,34.0,158.0,275.0,157.0,54.0,39.0,10.0,2.0,435859.0,29.6,40.0,182.0,261.0,7475.0,72.0,4276.0,73.0,6021.0,91.0,10739.0,46.0,7184.0,31.0,6151.0,34.0,8137.0,59.0,22262.0,37.0,24759.0,16.0,21344.0,4.0,10580.0,79.0,450.0,312.0,8122.0,61.0,3533.0,86.0,7031.0,64.0,7594.0,59.0,9205.0,37.0,7244.0,27.0,6504.0,71.0,26349.0,29.0,20782.0,14.0,18915.0,3.0,6825.0,554.0,624.0,49479.0,54320.0,495.0,501.0,35813.0,33522.0,68.0,231.0,10029.0,15633.0,103.0,101.0,3637.0,5165.0,90.0,71.0,2490.0,2975.0,14.0,45.0,1893.0,2190.0,1.0,3.0,7.0,13.0,531.0,485.0,39089.0,36162.0,234.0,274.0,10686.0,12798.0,397.0,327.0,28403.0,23364.0,549.0,541.0,36278.0,29037.0,453.0,362.0,4264.0,3035.0,590.0,717.0,56993.0,57468.0,20.0,21.0,884.0,1372.0,7.0,5.0,807.0,661.0,117.0,4761.0,103.0,4020.0,16.0,436.0,1.0,145.0,542.0,33117.0,318.0,9280.0
davidson,3.4,626681,569892,510786,477811,447877,283978,252978,229065,187430,147269,36.04,-86.64,14510.638957199999,504.03,1243.3,563.4,10.0,11.6,6.9,12.3,10.4,22.2,2610,2004,1389,747,821,912,1176,1493,2597,2889,204872.0,191941.5,188716.0,174710,185652.0,198964.5,257775.0,290300.0,331825.0,340000.0,360.0,515.0,34823.0,41353.0,97.0,80.0,360.0,515.0,216621.0,257175.0,601725.0,499368.0,6221.0,6219.0,10.0,18.0,68.0,127.0,78.0,36.0,22.0,1.0,11.0,322604.0,10.8,27.0,147.0,150.0,4302.0,30.0,1668.0,39.0,3183.0,33.0,3814.0,24.0,3736.0,17.0,3340.0,11.0,2634.0,21.0,6721.0,8.0,5278.0,24.0,20493.0,18.0,102365.0,60.0,1404.0,235.0,5713.0,51.0,2865.0,48.0,3969.0,42.0,4788.0,21.0,3358.0,13.0,2521.0,11.0,2628.0,26.0,9047.0,7.0,5110.0,1.0,26016.0,19.0,47246.0,225.0,322.0,11282.0,17410.0,182.0,226.0,8065.0,7815.0,23.0,123.0,1755.0,6599.0,55.0,70.0,1462.0,2996.0,51.0,55.0,1407.0,2031.0,7.0,20.0,55.0,965.0,5.0,5.0,51.0,38.0,217.0,263.0,12338.0,10540.0,109.0,139.0,3432.0,4354.0,139.0,154.0,8906.0,6186.0,239.0,325.0,9482.0,11598.0,216.0,205.0,1721.0,1805.0,266.0,424.0,14669.0,22551.0,21.0,311.0,160.0,581.0,4.0,4.0,121.0,64.0,77.0,2452.0,67.0,2302.0,15.0,150.0,18.0,70.0,260.0,11981.0,161.0,5875.0
decatur,100.0,11757,11731,10472,10857,9457,6873,6448,5346,4877,3804,35.44,-88.1,8638.09434769,333.84,35.2,20.6,0.2,12.0,-3.5,6.6,20.6,9.6,5,9,5,1,0,1,1,0,1,2,159000.0,124900.0,162000.0,115000,0.0,92000.0,165000.0,0.0,35000.0,80500.0,405.0,455.0,77269.0,76378.0,191.0,168.0,405.0,455.0,166102.0,160727.0,410128.0,353247.0,2150.0,2104.0,28.0,47.0,98.0,162.0,41.0,14.0,13.0,2.0,3.0,213661.0,36.2,7.0,31.0,83.0,4137.0,32.0,1850.0,49.0,4064.0,45.0,5096.0,44.0,6969.0,31.0,6166.0,29.0,6890.0,56.0,18778.0,23.0,14255.0,4.0,5143.0,2.0,9100.0,16.0,60.0,105.0,3109.0,55.0,3237.0,51.0,4235.0,59.0,6987.0,42.0,6582.0,17.0,3353.0,26.0,6230.0,55.0,19578.0,24.0,14869.0,4.0,10948.0,1.0,36411.0,316.0,361.0,25021.0,33091.0,262.0,254.0,16926.0,17018.0,52.0,139.0,4169.0,9438.0,82.0,128.0,3926.0,6635.0,78.0,90.0,3785.0,5230.0,5.0,43.0,141.0,1405.0,2.0,4.0,5.0,8.0,281.0,271.0,26624.0,21603.0,143.0,130.0,7539.0,6836.0,202.0,202.0,19085.0,14767.0,278.0,254.0,22522.0,18781.0,273.0,207.0,3102.0,2903.0,315.0,334.0,34230.0,35055.0,45.0,39.0,1545.0,1718.0,6.0,9.0,2487.0,3832.0,126.0,5690.0,115.0,5278.0,16.0,412.0,11.0,6.0,315.0,28411.0,169.0,8738.0
dekalb,78.4,18723,17423,14360,13589,11151,9405,8409,6694,6080,4374,36.07,-86.03,4081.66775279,304.35,61.5,30.9,7.5,21.3,5.7,11.8,25.6,10.1,20,15,14,9,10,4,8,9,6,11,145000.0,200000.0,433787.5,130000,160000.0,114500.0,105500.0,119900.0,161900.0,125500.0,637.0,722.0,89551.0,95315.0,141.0,132.0,637.0,722.0,287366.0,302999.0,451124.0,419666.0,3209.0,3179.0,43.0,55.0,151.0,232.0,101.0,32.0,20.0,3.0,12.0,194783.0,46.0,38.0,168.0,199.0,3017.0,72.0,4177.0,64.0,5224.0,71.0,8157.0,53.0,8281.0,35.0,6832.0,27.0,6429.0,47.0,14998.0,19.0,12661.0,11.0,14134.0,1.0,7485.0,44.0,213.0,242.0,6504.0,86.0,4893.0,77.0,6481.0,74.0,8561.0,42.0,6610.0,36.0,7136.0,40.0,9334.0,50.0,17618.0,18.0,11983.0,13.0,15982.0,19.0,105168.0,456.0,526.0,33510.0,38723.0,405.0,425.0,27639.0,23017.0,51.0,172.0,3813.0,12020.0,70.0,103.0,2058.0,3686.0,62.0,78.0,1714.0,2705.0,14.0,45.0,868.0,981.0,1.0,1.0,5.0,12.0,414.0,394.0,23845.0,22669.0,240.0,255.0,9660.0,10906.0,253.0,208.0,14185.0,11763.0,454.0,477.0,29500.0,30707.0,396.0,320.0,2696.0,3216.0,503.0,600.0,42973.0,53633.0,6.0,8.0,241.0,257.0,19.0,80.0,5021.0,5847.0,125.0,3752.0,113.0,3564.0,18.0,188.0,11.0,16.0,495.0,24743.0,320.0,12536.0
dickson,67.8,49666,43156,35061,30037,21977,20820,17614,14149,11140,7563,36.05,-87.31,2239.8473735999996,489.9,101.4,42.5,15.1,23.1,16.7,18.2,24.5,27.0,75,96,59,35,33,33,37,49,72,100,152900.0,145500.0,139900.0,130000,152500.0,152500.0,159900.0,168275.0,197450.0,192500.0,1143.0,1285.0,148512.0,139176.0,130.0,108.0,1143.0,1285.0,494407.0,472003.0,432552.0,367318.0,3329.0,3391.0,53.0,75.0,218.0,511.0,198.0,60.0,27.0,1.0,12.0,313533.0,47.4,39.0,202.0,381.0,10577.0,126.0,7271.0,144.0,12066.0,121.0,13854.0,78.0,12202.0,75.0,14823.0,39.0,9135.0,96.0,33869.0,34.0,22193.0,10.0,12320.0,2.0,18184.0,114.0,593.0,466.0,12899.0,145.0,8375.0,129.0,10703.0,124.0,14363.0,81.0,12702.0,55.0,10838.0,43.0,10270.0,99.0,34248.0,20.0,12803.0,9.0,11382.0,22.0,47246.0,833.0,935.0,46140.0,55294.0,753.0,744.0,34723.0,30204.0,117.0,365.0,7500.0,18714.0,165.0,201.0,3917.0,6376.0,138.0,148.0,3049.0,4212.0,41.0,66.0,868.0,2164.0,1.0,5.0,5.0,11.0,805.0,801.0,43766.0,38414.0,365.0,457.0,9934.0,12063.0,618.0,540.0,33832.0,26351.0,791.0,792.0,53231.0,39139.0,726.0,601.0,5375.0,6329.0,876.0,1065.0,70665.0,69916.0,6.0,16.0,329.0,919.0,16.0,18.0,1622.0,1346.0,255.0,6175.0,231.0,5837.0,37.0,322.0,3.0,16.0,943.0,47759.0,517.0,15830.0
dyer,42.9,38335,37279,34854,34663,30427,16703,16123,14384,13332,10680,36.16,-89.43,13430.7135713,512.33,74.8,32.6,2.8,7.0,0.6,3.6,12.1,7.9,25,34,22,11,14,6,17,13,25,20,160000.0,160522.5,152750.0,195500,177000.0,145950.0,174900.0,215000.0,193800.0,178450.0,449.0,584.0,211702.0,238614.0,471.0,409.0,449.0,584.0,530938.0,656497.0,1182489.0,1124138.0,2508.0,2751.0,35.0,50.0,87.0,131.0,47.0,28.0,45.0,19.0,7.0,327890.0,64.6,22.0,117.0,133.0,3456.0,38.0,2183.0,40.0,3333.0,33.0,3823.0,22.0,3359.0,15.0,3014.0,7.0,1640.0,38.0,13710.0,37.0,27047.0,31.0,47655.0,33.0,102365.0,30.0,188.0,189.0,4990.0,57.0,3193.0,48.0,3905.0,50.0,5787.0,33.0,5090.0,17.0,3359.0,11.0,2622.0,28.0,9710.0,47.0,34254.0,37.0,51308.0,37.0,114208.0,392.0,494.0,188343.0,218854.0,315.0,345.0,180767.0,190399.0,24.0,127.0,1871.0,10487.0,126.0,133.0,5705.0,17968.0,116.0,112.0,5032.0,7710.0,8.0,28.0,818.0,10258.0,2.0,6.0,3.0,13.0,135.0,121.0,7233.0,5442.0,47.0,40.0,1248.0,1441.0,100.0,93.0,5985.0,4001.0,184.0,221.0,13914.0,12531.0,252.0,168.0,2212.0,1787.0,205.0,315.0,17033.0,24459.0,83.0,132.0,3938.0,7049.0,109.0,147.0,129858.0,145299.0,124.0,8303.0,107.0,6693.0,25.0,1610.0,3.0,50.0,119.0,7226.0,50.0,2169.0
fayette,79.0,38413,28796,25559,25305,22692,15669,11210,9115,8152,5947,35.36,-89.57,2901.34616867,704.79,54.5,22.2,33.4,12.7,1.0,39.8,23.0,11.8,264,220,48,47,65,89,125,110,147,147,223190.0,258000.0,234225.0,199900,190400.0,196750.0,229000.0,231450.0,249900.0,243000.0,745.0,952.0,229022.0,227434.0,307.0,239.0,745.0,952.0,719399.0,734892.0,965636.0,771945.0,3141.0,3231.0,30.0,35.0,121.0,273.0,132.0,73.0,51.0,24.0,6.0,451060.0,50.8,14.0,54.0,232.0,7000.0,92.0,5272.0,65.0,5335.0,72.0,8381.0,47.0,7418.0,21.0,4236.0,30.0,7168.0,77.0,27214.0,48.0,32267.0,28.0,36861.0,19.0,87816.0,54.0,303.0,311.0,8398.0,117.0,6689.0,94.0,7780.0,81.0,9131.0,57.0,8915.0,45.0,9153.0,34.0,8072.0,67.0,22971.0,43.0,28390.0,30.0,36288.0,19.0,81344.0,582.0,696.0,147414.0,154633.0,421.0,410.0,115228.0,101530.0,80.0,212.0,12142.0,23072.0,206.0,284.0,20044.0,30031.0,196.0,251.0,19495.0,23012.0,15.0,43.0,549.0,142.0,1.0,2.0,5.0,8.0,416.0,417.0,46585.0,38560.0,158.0,184.0,6716.0,6864.0,322.0,291.0,39869.0,31696.0,378.0,434.0,29528.0,26989.0,439.0,378.0,5495.0,7252.0,458.0,605.0,48386.0,56925.0,169.0,272.0,17622.0,26128.0,53.0,81.0,78844.0,67855.0,269.0,25173.0,262.0,24264.0,16.0,893.0,3.0,16.0,424.0,42380.0,180.0,8001.0
fentress,100.0,17959,16625,14669,14826,12593,8961,7598,6120,5606,4049,36.38,-84.88,10256.9565497,498.61,36.0,18.0,8.0,13.3,-1.1,17.9,24.2,9.2,12,22,14,16,12,10,5,7,4,11,127500.0,129750.0,110950.0,118500,112000.0,108250.0,119900.0,114000.0,122000.0,120000.0,536.0,623.0,90842.0,84371.0,169.0,135.0,536.0,623.0,291286.0,294680.0,543445.0,473001.0,3207.0,3493.0,35.0,44.0,133.0,182.0,84.0,37.0,15.0,3.0,3.0,319117.0,28.5,32.0,189.0,174.0,4738.0,45.0,2622.0,52.0,4191.0,57.0,6420.0,41.0,6174.0,37.0,7269.0,10.0,2375.0,53.0,18373.0,18.0,11419.0,14.0,18202.0,3.0,8870.0,61.0,144.0,230.0,5646.0,63.0,3728.0,49.0,3997.0,51.0,5794.0,40.0,6247.0,33.0,6474.0,17.0,4008.0,44.0,14865.0,25.0,17460.0,8.0,10420.0,2.0,33902.0,388.0,442.0,26344.0,34257.0,338.0,354.0,19822.0,17662.0,50.0,182.0,4437.0,13693.0,77.0,79.0,2085.0,2902.0,54.0,50.0,1418.0,1414.0,28.0,34.0,667.0,1488.0,5.0,2.0,51.0,11.0,320.0,329.0,25783.0,19613.0,164.0,183.0,7372.0,6986.0,220.0,198.0,18411.0,12627.0,419.0,403.0,36484.0,28461.0,313.0,264.0,2231.0,2040.0,461.0,524.0,48293.0,49140.0,5.0,21.0,262.0,312.0,7.0,3.0,2119.0,1145.0,82.0,2829.0,73.0,2140.0,17.0,689.0,11.0,6.0,316.0,21720.0,177.0,5178.0
