,PC1,PC2,PC3
ins_fm_12,0.042652569357907406,-0.051834524820505955,0.15074093109771894
ins_fm_07,0.03570710868915394,-0.06380661219460797,0.13537197448983807
ins_acr_12,0.004843651061050962,-0.05456782509080179,0.16828981105810245
ins_acr_07,0.005386469911899352,-0.0415776610097329,0.17465459682625067
cp_ot_fm_02,0.08483218973589694,-0.02713718948507958,0.06618531706547225
cp_ot_acr_02,0.03990498222277687,-0.06772337152923619,0.14275220990212192
cp_id_fm_02,0.07107264419465405,-0.035114021029451,0.060098469490790375
cp_id_acr_02,0.029875811026493938,-0.07301836139272365,0.12907343336209087
cp_fl_fm_02,0.07690197241017833,0.034070556253541176,0.011347234891636733
cp_fl_acr_02,0.011945638958985457,-0.026288180136906307,0.09776821339573231
cp_sm_fm_02,0.0011110292756139602,-0.00023861310422877832,0.02826300163157227
cp_sm_acr_02,0.00609048293594791,-0.0047962982560723665,0.0475946749262809
wd_fm_02,0.08535009307259149,-0.0008635387112925718,-0.041435307945738985
wd_acr_02,0.08410227645519451,-0.032158327945870806,-0.02208565196896481
wd_p1_fm_02,0.10170103416378243,0.01078176510447292,-0.06913586804582908
wd_p1_acr_02,0.09069132402190715,-0.013339183135941245,-0.044289544409530715
