,County,Population_2010,Population_2000,Population_1990,Population_1980,Population_1970,Housing_2010,Housing_2000,Housing_1990,Housing_1980,Housing_1970
68,obion,"31,807","32,450","31,717","32,781","30,247","14,659","14,489","13,359","13,059","11,173"
69,overton,"22,083","20,118","17,636","17,575","14,866","10,295","9,168","7,388","6,526","5,109"
70,perry,"7,915","7,631","6,612","6,111","5,238","4,599","4,115","3,225","2,842","2,160"
71,pickett,"5,077","4,945","4,548","4,358","3,774","3,462","2,956","2,253","1,867","1,382"
72,polk,"16,825","16,050","13,643","13,602","11,669","7,991","7,369","5,659","5,090","3,954"
73,putnam,"72,321","62,315","51,373","47,690","35,487","31,882","26,916","21,417","17,801","11,993"
74,rhea,"31,809","28,400","24,344","24,235","17,202","14,365","12,565","10,361","9,382","5,901"
75,roane,"54,181","51,910","47,227","48,425","38,881","25,716","23,369","20,334","18,732","13,189"
76,robertson,"66,283","54,433","41,492","37,021","29,102","26,086","20,995","15,822","13,308","9,859"
80,rutherford,"262,604","182,023","118,570","84,058","59,428","102,968","70,616","45,755","30,541","19,035"
81,scott,"22,228","21,127","18,358","19,259","14,762","9,910","8,909","7,122","6,608","4,648"
82,sequatchie,"14,112","11,370","8,863","8,605","6,331","6,368","4,916","3,570","3,162","2,003"
83,sevier,"89,889","71,170","51,043","41,418","28,241","55,918","37,252","24,166","17,504","10,268"
84,shelby,"927,644","897,472","826,330","777,113","722,111","398,274","362,954","327,796","286,381","222,649"
85,smith,"19,166","17,712","14,143","14,935","12,509","8,529","7,665","6,049","6,051","4,489"
86,stewart,"13,324","12,370","9,479","8,665","7,319","6,778","5,977","4,384","3,581","2,751"
87,sullivan,"156,823","153,048","143,596","143,968","127,329","73,760","69,052","60,623","54,976","42,187"
88,sumner,"160,645","130,449","103,281","85,790","56,266","65,968","51,657","39,807","30,153","18,657"
89,tipton,"61,081","51,271","37,568","32,930","28,001","23,199","19,064","14,071","11,574","8,517"
90,trousdale,"7,870","7,259","5,920","6,137","5,155","3,368","3,095","2,537","2,496","1,813"
91,unicoi,"18,313","17,667","16,549","16,362","15,254","8,830","8,214","7,076","6,400","5,194"
92,union,"19,109","17,808","13,694","11,707","9,072","8,958","7,916","5,696","4,642","3,119"
93,van_buren,"5,548","5,508","4,846","4,728","3,758","2,663","2,453","2,001","1,753","1,292"
94,warren,"39,839","38,276","32,992","32,653","26,972","17,821","16,689","13,802","12,968","9,501"
95,washington,"122,979","107,198","92,315","88,755","73,924","57,254","47,779","38,378","33,673","24,240"
96,wayne,"17,021","16,842","13,935","13,946","12,365","7,287","6,701","5,741","5,175","4,180"
97,weakley,"35,021","34,895","31,972","32,896","28,827","15,495","14,928","12,857","12,463","10,146"
98,white,"25,841","23,102","20,090","19,567","16,329","11,511","10,191","8,369","7,585","5,778"
99,williamson,"183,182","126,638","81,021","58,108","34,423","68,498","47,005","29,875","19,719","11,060"
100,wilson,"113,993","88,808","67,675","56,064","36,999","45,568","34,920","26,198","20,135","12,900"
