,County,Land/sq.mi,Popul_Dens,Hous_Dens,Pop%00-10,Pop%90-00,Hous%80-90,Hous%00-10,Hous%90-00,Hous%80-90
77,robertson,476.29,139.2,54.8,21.8,31.2,12.1,24.2,32.7,18.9
78,rutherford,619.36,424.0,166.2,44.3,53.5,41.1,45.8,54.3,49.8
79,scott,532.3,41.8,18.6,5.2,15.1,-4.7,11.2,25.1,7.8
80,sequatchie,265.86,53.1,24.0,24.1,28.3,3.0,29.5,37.7,12.9
81,sevier,592.5,151.7,94.4,26.3,39.4,23.2,50.1,54.2,38.1
82,shelby,763.17,1215.5,521.9,3.4,8.6,6.3,9.7,10.7,14.5
83,smith,314.29,61.0,27.1,8.2,25.2,-5.3,11.3,26.7,0.0
84,stewart,459.33,29.0,14.8,7.7,30.5,9.4,13.4,36.3,22.4
85,sullivan,413.36,379.4,178.4,2.5,6.6,-0.3,6.8,13.9,10.3
86,sumner,529.45,303.4,124.6,23.1,26.3,20.4,27.7,29.8,32.0
87,tipton,458.37,133.3,50.6,19.1,36.5,14.1,21.7,35.5,21.6
88,trousdale,114.19,68.9,29.5,8.4,22.6,-3.5,8.8,22.0,1.6
89,unicoi,186.17,98.4,47.4,3.7,6.8,1.1,7.5,16.1,10.6
90,union,223.55,85.5,40.1,7.3,30.0,17.0,13.2,39.0,22.7
91,van_buren,273.42,20.3,9.7,0.7,13.7,2.5,8.6,22.6,14.1
92,warren,432.68,92.1,41.2,4.1,16.0,1.0,6.8,20.9,6.4
93,washington,326.46,376.7,175.4,14.7,16.1,4.0,19.8,24.5,14.0
94,wayne,734.1,23.2,9.9,1.1,20.9,-0.1,8.7,16.7,10.9
95,weakley,580.36,60.3,26.7,0.4,9.1,-2.8,3.8,16.1,3.2
96,white,376.67,68.6,30.6,11.9,15.0,2.7,13.0,21.8,10.3
97,williamson,582.6,314.4,117.6,44.7,56.3,39.4,45.7,57.3,51.5
98,wilson,570.83,199.7,79.8,28.4,31.2,20.7,30.5,33.3,30.1
